month,year,trap,nummosquitos,wnvpresent,latitude,longitude,species
5,2009,T115,4.0,0.0,41.673408,-87.599862,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS"
5,2009,T135,22.0,0.0,41.662014,-87.72460799999998,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS"
5,2009,T138,2.0,0.0,41.72646500000001,-87.585413,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2009,T148,4.0,0.0,42.01743,-87.68776899999996,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2009,T151,1.0,0.0,41.916265,-87.800515,CULEX RESTUANS
5,2009,T152,2.0,0.0,41.846075,-87.716277,CULEX PIPIENS/RESTUANS
5,2009,T155,1.0,0.0,41.776156,-87.778927,CULEX RESTUANS
5,2009,T159,2.0,0.0,41.732984,-87.649642,CULEX PIPIENS/RESTUANS
5,2009,T160,1.0,0.0,41.903002,-87.68826700000002,CULEX PIPIENS/RESTUANS
5,2009,T200,1.0,0.0,41.678618,-87.559308,CULEX PIPIENS/RESTUANS
5,2009,T209,3.0,0.0,41.740641,-87.546587,CULEX PIPIENS/RESTUANS
5,2009,T212,5.0,0.0,41.680946,-87.535198,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2009,T220,2.0,0.0,41.963976,-87.69181,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
5,2009,T221,3.0,0.0,41.659112,-87.53869300000002,"CULEX PIPIENS/RESTUANS, CULEX PIPIENS"
5,2009,T900,34.0,0.0,41.974689,-87.890615,"CULEX RESTUANS, CULEX RESTUANS"
6,2007,T001,1.0,0.0,41.953705,-87.733974,CULEX PIPIENS/RESTUANS
6,2007,T002,17.0,0.0,41.95469,-87.800991,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX SALINARIUS, CULEX PIPIENS/RESTUANS"
6,2007,T003,2.0,0.0,41.964242,-87.757639,CULEX RESTUANS
6,2007,T006,3.0,0.0,41.990284,-87.797127,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS"
6,2007,T007,5.0,0.0,41.994991,-87.769279,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2007,T008,2.0,0.0,42.008314,-87.77792099999998,CULEX RESTUANS
6,2007,T009,2.0,0.0,41.98196400000001,-87.812827,CULEX RESTUANS
6,2007,T011,7.0,0.0,41.944869,-87.832763,"CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2007,T012,3.0,0.0,41.991429,-87.747113,"CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS"
6,2007,T013,1.0,0.0,41.923738,-87.785288,CULEX PIPIENS/RESTUANS
6,2007,T014,1.0,0.0,41.970248,-87.787992,CULEX RESTUANS
6,2007,T015,7.0,0.0,41.974089,-87.824812,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2007,T016,7.0,0.0,42.011601,-87.81150600000002,"CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS"
6,2007,T018,1.0,0.0,42.010412,-87.66214000000002,CULEX RESTUANS
6,2007,T019,2.0,0.0,41.94983,-87.69845699999998,"CULEX RESTUANS, CULEX RESTUANS"
6,2007,T025,2.0,0.0,41.979243,-87.750938,"CULEX RESTUANS, CULEX PIPIENS/RESTUANS"
6,2007,T028,15.0,0.0,41.986921,-87.689778,"CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2007,T030,2.0,0.0,41.89923,-87.716788,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2007,T031,2.0,0.0,41.801498,-87.763416,"CULEX PIPIENS/RESTUANS, CULEX PIPIENS"
6,2007,T033,8.0,0.0,41.906638,-87.701431,"CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2007,T034,1.0,0.0,41.843811,-87.686763,CULEX RESTUANS
6,2007,T037,1.0,0.0,41.921177,-87.79518,CULEX RESTUANS
6,2007,T040,6.0,0.0,41.852652,-87.719887,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2007,T043,6.0,0.0,41.857402,-87.694991,"CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2007,T045,6.0,0.0,41.9216,-87.666455,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2007,T046,10.0,0.0,41.891118,-87.65449100000002,"CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS"
6,2007,T047,2.0,0.0,41.868142,-87.696269,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2007,T048,6.0,0.0,41.867108,-87.654224,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS"
6,2007,T049,3.0,0.0,41.896282,-87.655232,"CULEX RESTUANS, CULEX RESTUANS"
6,2007,T050,3.0,0.0,41.919343,-87.694259,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS"
6,2007,T051,1.0,0.0,41.846283,-87.656913,CULEX PIPIENS/RESTUANS
6,2007,T054,6.0,0.0,41.921965,-87.632085,"CULEX RESTUANS, CULEX PIPIENS/RESTUANS"
6,2007,T084,2.0,0.0,41.692555,-87.598865,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2007,T085,4.0,0.0,41.721474,-87.648064,"CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS"
6,2007,T086,11.0,0.0,41.688324,-87.676709,"CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS"
6,2007,T088,1.0,0.0,41.869107,-87.69629300000004,CULEX PIPIENS
6,2007,T089,3.0,0.0,41.723195,-87.64997,"CULEX RESTUANS, CULEX RESTUANS"
6,2007,T090,48.0,0.0,41.868077,-87.666901,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS"
6,2007,T091,1.0,0.0,41.862292,-87.64886,CULEX PIPIENS/RESTUANS
6,2007,T092,1.0,0.0,41.869216,-87.627561,CULEX PIPIENS/RESTUANS
6,2007,T094,2.0,0.0,41.720848,-87.666014,CULEX PIPIENS/RESTUANS
6,2007,T096,9.0,0.0,41.731922,-87.677512,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX RESTUANS, CULEX RESTUANS"
6,2007,T129,2.0,0.0,41.891126,-87.61156,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2007,T135,61.0,0.0,41.662014,-87.72460799999998,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX RESTUANS"
6,2007,T141,8.0,0.0,41.961743,-87.76007,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS"
6,2007,T142,9.0,0.0,41.953067,-87.776792,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS, CULEX RESTUANS"
6,2007,T143,16.0,0.0,41.999129,-87.795585,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS"
6,2007,T144,1.0,0.0,41.94016,-87.794896,CULEX PIPIENS/RESTUANS
6,2007,T145,5.0,0.0,41.878114,-87.629798,"CULEX RESTUANS, CULEX RESTUANS, CULEX RESTUANS"
6,2007,T146,11.0,0.0,41.958271,-87.702575,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS, CULEX RESTUANS"
6,2007,T147,2.0,0.0,41.932094,-87.700117,"CULEX RESTUANS, CULEX RESTUANS"
6,2007,T148,8.0,0.0,42.01743,-87.68776899999996,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2007,T149,1.0,0.0,41.994469,-87.667736,CULEX PIPIENS/RESTUANS
6,2007,T150,5.0,0.0,42.006858,-87.675919,"CULEX RESTUANS, CULEX RESTUANS, CULEX RESTUANS"
6,2007,T151,26.0,0.0,41.916265,-87.800515,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2007,T152,1.0,0.0,41.846075,-87.716277,CULEX RESTUANS
6,2007,T153,4.0,0.0,41.907645,-87.760886,"CULEX RESTUANS, CULEX RESTUANS"
6,2007,T154,1.0,0.0,41.918705,-87.752329,CULEX RESTUANS
6,2007,T158,22.0,0.0,41.682587,-87.707973,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS"
6,2007,T159,1.0,0.0,41.732984,-87.649642,CULEX RESTUANS
6,2007,T160,1.0,0.0,41.903002,-87.68826700000002,CULEX PIPIENS/RESTUANS
6,2007,T161,8.0,0.0,41.719059,-87.675088,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2007,T162,1.0,0.0,41.725517,-87.61425799999998,CULEX PIPIENS/RESTUANS
6,2007,T218,8.0,0.0,41.948167,-87.730698,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS"
6,2007,T219,1.0,0.0,41.966987,-87.674677,CULEX RESTUANS
6,2007,T220,2.0,0.0,41.963976,-87.69181,"CULEX RESTUANS, CULEX RESTUANS"
6,2009,T002,189.0,0.0,41.95469,-87.800991,"CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS"
6,2009,T003,73.0,0.0,41.964242,-87.757639,"CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T008,290.0,0.0,42.008314,-87.77792099999998,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS"
6,2009,T009,98.0,0.0,41.99247800000001,-87.862995,"CULEX PIPIENS/RESTUANS, CULEX TERRITANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T011,152.0,0.0,41.944869,-87.832763,"CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T012,83.0,0.0,41.991429,-87.747113,"CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T016,113.0,0.0,42.011601,-87.81150600000002,"CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T017,24.0,0.0,41.960616,-87.777189,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T018,14.0,0.0,42.010412,-87.66214000000002,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS, CULEX RESTUANS, CULEX RESTUANS"
6,2009,T028,87.0,0.0,41.986921,-87.689778,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T030,38.0,0.0,41.89923,-87.716788,"CULEX PIPIENS/RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS"
6,2009,T031,236.0,0.0,41.801498,-87.763416,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS"
6,2009,T033,12.0,0.0,41.906638,-87.701431,"CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS"
6,2009,T039,17.0,0.0,41.911824,-87.726737,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS"
6,2009,T046,34.0,0.0,41.891118,-87.65449100000002,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T047,21.0,0.0,41.868142,-87.696269,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX SALINARIUS"
6,2009,T048,294.0,0.0,41.867108,-87.654224,"CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX SALINARIUS"
6,2009,T049,36.0,0.0,41.896282,-87.655232,"CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T054,156.0,0.0,41.921965,-87.632085,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX SALINARIUS, CULEX PIPIENS/RESTUANS"
6,2009,T061,7.0,0.0,41.801179,-87.679447,"CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T062,17.0,0.0,41.800737,-87.71188000000002,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS"
6,2009,T063,63.0,0.0,41.82561,-87.726549,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS"
6,2009,T065,2.0,0.0,41.778297,-87.752411,"CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS"
6,2009,T066,79.0,0.0,41.77166,-87.703047,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T069,23.0,0.0,41.768388,-87.678649,"CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS"
6,2009,T073,42.0,0.0,41.773215,-87.60088,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS"
6,2009,T074,52.0,0.0,41.822536,-87.66634300000004,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T079,1.0,0.0,41.766202,-87.562889,CULEX PIPIENS/RESTUANS
6,2009,T080,3.0,0.0,41.754676,-87.612922,"CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS"
6,2009,T081,4.0,0.0,41.821582,-87.62779599999998,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T082,14.0,0.0,41.803423,-87.642984,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS"
6,2009,T083,8.0,0.0,41.754292,-87.590773,"CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS"
6,2009,T089,43.0,0.0,41.723195,-87.64997,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T090,73.0,0.0,41.868077,-87.666901,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T094,101.0,0.0,41.720848,-87.666014,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T095,23.0,0.0,41.704336,-87.70373599999998,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS"
6,2009,T102,12.0,0.0,41.750498,-87.605294,"CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS"
6,2009,T114,13.0,0.0,41.798697,-87.736812,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS, CULEX RESTUANS, CULEX PIPIENS, CULEX RESTUANS"
6,2009,T115,65.0,0.0,41.673408,-87.599862,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS"
6,2009,T128,6.0,0.0,41.704572,-87.56566600000002,"CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T135,331.0,0.0,41.662014,-87.72460799999998,"CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T138,9.0,0.0,41.72646500000001,-87.585413,"CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS"
6,2009,T144,72.0,0.0,41.94016,-87.794896,"CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX SALINARIUS, CULEX TERRITANS"
6,2009,T145,4.0,0.0,41.878114,-87.629798,"CULEX PIPIENS/RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T147,85.0,0.0,41.932094,-87.700117,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS"
6,2009,T148,28.0,0.0,42.01743,-87.68776899999996,"CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS/RESTUANS, CULEX RESTUANS, CULEX PIPIENS"
